CIP,libellés,RSF
3400941603440,CA VIT D3 500MG/400UI CRSU/60,"2,50%"
3400935624482,MEBEVER 200MG SEC /30,"2,50%"
3400935589781,PARACE 500MG /16,"2,50%"
3400930292419,PARACE 500MG /16,"2,50%"
3400937406772,PARACE 1G /8,"2,50%"
3400930284711,BACLOFENE 10MG SEC /30,"10,00%"
3400930249673,CHOLECALCIF SBSTP 80000UI S BUV EN AMP/2ML,"10,00%"
3400930270608,MACROGOL 4000 10G PDR SBUV 20SACH/10G,"10,00%"
3400930270592,MACROGOL 4000 4G PDR SBUV SACH 20SACH/4G,"10,00%"
3400935252234,"AMOX 250MG/5ML PDR SUBU/6,6G","10,00%"
3400930193501,AMOX 1G DISP PVC TE/14,"10,00%"
3400930193495,AMOX 1G DISP PVC TE/6,"10,00%"
3400930249680,CHOLECALCIF SBSTP 200000UI S BUV EN AMP/2ML,"10,00%"
3400926941710,AMOX/AC CLAV 1G/125MG PD SUB AD 12SACH/2G,"10,00%"
3400926941598,AMOX/AC CLAV 1G/125MG PD SUB AD 8SACH/2G,"10,00%"
3400936027398,"AMOX AC CLAV 100/12,5MGPML PD NOUR/7G","10,00%"
3400936027220,"AMOX AC CLAV 100/12,5MGPML PDR ENF/14G","10,00%"
3400935252173,AMOX 500MG/5ML PDR SUBU/12G,"10,00%"
3400936100701,"AMOX/AC CLAV 500MG/62,5MG AD FILM/24","10,00%"
3400936100640,"AMOX/AC CLAV 500MG/62,5MG CP AD FILM/16","10,00%"
3400927590313,AMOX 500MG /12,"10,00%"
3400934883675,BROMAZEPAM 6MG QSEC B/30,"10,00%"
3400935252463,"AMOX 125MG/5ML PDR SUBU/5,1G","10,00%"
3400930109618,GLYCE/VAS 15%/8%/2% CR T/250G,"10,00%"
3400930258354,CHOLECALCIF SBSTP 50000UI S BUV EN 2AMP/2ML,"10,00%"
3400930258361,CHOLECALCIF SBSTP 50000UI S BUV EN 4AMP/2ML,"10,00%"
3400930258347,CHOLECALCIF SBSTP 50000UI S BUV EN AMP/2ML,"10,00%"
3400930261903,SITAGLIP/METF 50MG/1000MG /60,"10,00%"
3400930145388,ATORVAST 40MG /30,"30,00%"
3400930145418,ATORVAST 40MG /90,"30,00%"
3400930041123,"PERIN/INDA 4MG/1,25MG ALU/30","30,00%"
3400930044650,"PERIN/INDA 4MG/1,25MG ALU/90","30,00%"
3400931850984,LERCANID 10MG /30,"30,00%"
3400931914723,LERCANID 10MG /90,"30,00%"
3400930267592,METFORM 850MG/30,"30,00%"
3400930267615,METFORM 850MG/90,"30,00%"
3400930203316,AMLO/VALSART 5MG/160MG PVC/ACLA/AL/30,"30,00%"
3400930203330,AMLO/VALSART 5MG/160MG PVC/ACLA/AL/90,"30,00%"
3400930105467,"ENTECAVIR 0,5MG /30 ","30,00%"
3400941823404,FENOFIB 145MG /30,"30,00%"
3400941823862,FENOFIB 145MG /90,"30,00%"
3400949956982,REPAGLIN 2MG SEC /90,"30,00%"
3400930308769,EMT/TEN DISO 200MG/245MG B3FL/30,"30,00%"
3400930308783,EMT/TEN DISO 200MG/245MG PL/30 ,"30,00%"
3400930308790,EMT/TEN DISO 200MG/245MG PL/90 ,"30,00%"
3400938261080,GLIMEP 3MG /30,"30,00%"
3400938261141,GLIMEP 3MG /90,"30,00%"
3400941627682,EXEMESTANE 25MG ENR /30,"30,00%"
3400930145326,ATORVAST 20MG /30,"30,00%"
3400930145357,ATORVAST 20MG /90,"30,00%"
3400926861025,DESLORAT 5MG /15,"30,00%"
3400926861193,DESLORAT 5MG /30,"30,00%"
3400939458472,RISPERID 4MG /30,"30,00%"
